Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Wikipedia Home,50,231,89,1384,258.50,0.000%,5.02715,778.27,1.02,158529.0
TOTAL,50,231,89,1384,258.50,0.000%,5.02715,778.27,1.02,158529.0
